,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
138,Jagiellonia Białystok,Wisła Płock,H,5,2,10,37,63,14,17,9,8,5,9,,,,,6,6,0,0,,,6,4,14,13,,,1.0,1.0,,,280.0,367.0,,,92.0,103.0,61.0,91.0,2.425,3.1,3.35,2020-11-23
223,Podbeskidzie B-B,Zagłębie Lubin,H,2,1,9,41,59,12,9,4,4,8,5,,,,,5,6,2,1,,,3,2,20,16,,,2.0,3.0,,,269.0,431.0,,,98.0,106.0,69.0,98.0,3.475,2.1100000000000003,3.65,2020-11-24
222,Wisła Płock,Cracovia,A,0,1,11,54,46,9,19,3,4,4,8,2.0,7.0,,,7,1,0,4,,,3,3,11,14,0.0,1.0,3.0,2.0,,,399.0,320.0,,,122.0,106.0,74.0,38.0,2.91,2.63,3.2,2020-11-27
137,Górnik Zabrze,Pogoń Szczecin,H,2,1,11,51,49,27,6,13,3,7,1,7.0,2.0,,,3,6,3,1,,,2,11,8,14,0.0,1.0,1.0,2.0,,,435.0,383.0,,,129.0,85.0,104.0,57.0,2.525,3.1,3.21,2020-11-27
136,Stal Mielec,Jagiellonia Białystok,H,3,1,11,43,57,15,11,8,2,7,9,,,,,12,4,1,0,,,1,5,13,10,,,,,,,226.0,490.0,,,71.0,89.0,76.0,61.0,2.84,2.525,3.525,2020-11-28
135,Podbeskidzie B-B,Śląsk Wrocław,A,0,2,11,62,38,14,6,6,3,8,3,,,,,9,2,1,3,,,1,6,12,19,,,2.0,3.0,,,424.0,260.0,,,97.0,73.0,53.0,40.0,3.575,2.125,3.53,2020-11-28
134,Wisła Kraków,Zagłębie Lubin,A,1,2,11,59,41,8,11,3,6,5,5,,,,,13,3,2,0,,,4,2,18,14,,,2.0,4.0,,,414.0,347.0,,,115.0,92.0,106.0,71.0,2.6,2.78,3.475,2020-11-28
133,Raków Częstochowa,Warta Poznań,H,1,0,11,62,38,13,8,5,0,8,8,,,,,7,6,5,0,,,0,4,18,22,,,2.0,3.0,,,381.0,247.0,,,76.0,66.0,37.0,23.0,1.475,7.35,4.550000000000002,2020-11-29
132,Legia Warszawa,Piast Gliwice,D,2,2,11,62,38,20,5,10,3,10,2,,,,,11,1,1,0,,,1,8,14,15,,,2.0,2.0,,,526.0,312.0,,,85.0,61.0,50.0,22.0,1.745,5.175000000000002,3.75,2020-11-29
131,Lechia Gdańsk,Lech Poznań,A,0,1,11,51,49,18,17,5,5,13,12,,,,,7,8,3,1,,,4,5,16,17,1.0,0.0,2.0,1.0,,,352.0,329.0,,,102.0,88.0,81.0,63.0,3.175,2.25,3.7,2020-11-30
221,Wisła Płock,Pogoń Szczecin,D,0,0,9,49,51,13,6,4,2,9,4,,,,,8,3,4,3,,,2,4,19,19,,,2.0,1.0,,,364.0,397.0,,,89.0,116.0,71.0,57.0,3.6,2.23,3.225,2020-12-02
