,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
26,Podbeskidzie B-B,Puszcza Niepołomice,D,2,2,54,46,15,6,5,4,10,2,,,15,18,8,5,,,26.0,18.0,2,3,,,,,4,4,,,,,,,100,80,84,69,1.6749999999999998,5.135,3.95,2020-06-16
25,Warta Poznań,Bruk-Bet T.,A,1,3,53,47,8,6,3,4,5,2,,,32,23,5,2,,,21.0,30.0,1,2,,,,,2,4,,,,,,,98,73,67,35,2.325,3.165,3.31,2020-06-17
24,Stal Mielec,Stomil Olsztyn,H,1,0,52,48,11,13,5,6,6,7,,,19,11,5,4,,,26.0,24.0,6,4,,,1.0,0.0,2,1,,,,,,,90,78,45,50,1.6749999999999998,4.755,4.075,2020-06-18
23,GKS Tychy,Podbeskidzie B-B,D,1,1,47,53,7,13,5,5,2,8,,,12,19,3,7,,,18.0,15.0,4,4,,,0.0,1.0,3,4,,,,,,,73,97,59,88,3.83,1.93,3.75,2020-06-21
22,GKS Bełchatów,Stal Mielec,H,2,1,56,44,11,9,5,3,6,6,,,17,16,7,4,,,22.0,25.0,2,3,,,,,2,2,,,,,,,97,97,81,88,4.855,1.73,3.8,2020-06-21
21,Warta Poznań,Sandecja Nowy Sącz,H,2,0,64,36,21,6,11,4,10,2,,,15,14,5,1,,,24.0,23.0,4,9,,,,,1,3,,,,,,,156,81,80,33,2.125,3.755,3.21,2020-06-21
20,Miedź Legnica,Warta Poznań,D,0,0,51,49,4,8,1,3,3,5,,,17,24,2,4,,,33.0,24.0,3,1,,,,,2,3,,,,,,,83,67,50,42,2.79,2.6,3.3,2020-06-27
19,Stal Mielec,Radomiak Radom,H,2,0,52,48,11,5,5,1,6,4,,,11,18,4,4,,,17.0,25.0,1,3,,,0.0,1.0,0,3,,,,,,,77,88,52,52,2.25,3.3200000000000003,3.335,2020-06-27
18,Podbeskidzie B-B,Stomil Olsztyn,H,2,0,59,41,5,8,3,3,2,5,,,13,18,9,8,,,24.0,19.0,3,1,,,,,1,3,,,,,,,109,69,92,53,1.605,5.43,4.175000000000002,2020-06-28
16,GKS Jastrzębie,Stal Mielec,A,1,2,48,52,16,20,6,6,7,11,3.0,3.0,14,14,5,9,1.0,3.0,,,4,5,14.0,11.0,,,2,2,,,,,,,89,102,49,70,3.73,2.01,3.5250000000000004,2020-06-30
